file,column,description,notes
data/raw/naver_results.csv,query,實際查詢字串,
data/raw/naver_results.csv,source_type,news 或 blog,
data/raw/naver_results.csv,platform,Naver News 或 Naver Blog,
data/raw/naver_results.csv,title,文章標題,
data/raw/naver_results.csv,url,文章連結,
data/raw/naver_results.csv,published_date,發布日 YYYY-MM-DD,
data/raw/naver_results.csv,description,摘要,
data/raw/naver_results.csv,collected_at,爬取時間,
data/raw/naver_datalab.csv,event_id,事件 ID,join key
data/raw/naver_datalab.csv,date,日期,join key
data/raw/naver_datalab.csv,keyword,查詢關鍵字,
data/raw/naver_datalab.csv,naver_datalab_score,0-100 搜尋指數 事件內相對,
data/raw/naver_datalab.csv,collected_at,爬取時間,
data/raw/google_trends.csv,event_id,事件 ID,join key
data/raw/google_trends.csv,date,日期,join key
data/raw/google_trends.csv,query,查詢字串,
data/raw/google_trends.csv,google_trends_score,0-100 trends 指數,
