group,company,ticker,member,event_category,event_subtype,event_title_en,event_title_zh,event_title_ko,start_date,peak_date,end_date,sentiment_expected,severity_score,source_level,official_source_url,naver_source_url,notes,status
BTS,HYBE,352820.KS,j-hope,activity,festival_headliner,j-hope headlines Lollapalooza as a BTS solo activity,j-hope 以 BTS 成員個人活動登上 Lollapalooza 壓軸,제이홉 롤라팔루자 헤드라이너 공연,2022-07-31,2022-07-31,2022-08-14,positive,4.0,B_media,https://www.billboard.com/music/music-news/j-hope-bts-lollapalooza-2022-review-1235119962/,,High-profile solo public activity during BTS's individual-activity phase.,candidate
BTS,HYBE,352820.KS,,concert,special_concert,BTS holds Yet To Come in Busan concert,BTS 舉辦 Yet To Come in Busan 演唱會,방탄소년단 Yet To Come in Busan 공연,2022-10-15,2022-10-15,2022-10-29,positive,4.0,A_official,https://weverse.io/bts/notice/9298,,Large-scale Busan special concert supporting the World Expo bid.,candidate
BTS,HYBE,352820.KS,,contract_member,military_service_plan,BIGHIT MUSIC confirms BTS will fulfill mandatory military service,BIGHIT MUSIC 確認 BTS 將履行兵役義務,빅히트 뮤직 방탄소년단 병역 의무 이행 발표,2022-10-17,2022-10-17,2022-10-31,mixed,5.0,A_official,https://weverse.io/bts/notice/9371,,Major member-schedule announcement affecting group continuity and future activities.,candidate
BTS,HYBE,352820.KS,Jin,contract_member,member_enlistment,Jin begins mandatory military service,Jin 入伍服役,진 군 입대,2022-12-13,2022-12-13,2022-12-27,mixed,4.0,B_media,https://www.theguardian.com/music/2022/dec/12/k-pop-star-jin-of-bts-starts-his-military-service-in-south-korea,,First BTS member enlistment; coded under contract/member status rather than separate military category.,candidate
BTS,HYBE,352820.KS,V,dating,dating_rumor_agency_response,V and Jennie dating rumors resurface after Paris video,V 與 Jennie 因巴黎影片再度傳出戀愛傳聞,뷔와 제니 파리 영상 이후 열애설 재점화,2023-05-18,2023-05-18,2023-06-01,mixed,3.0,B_media,https://www.elle.com/culture/celebrities/a43931120/jennie-v-agencies-yg-dating-paris-response/,,"Dating rumor with agency response; keep as rumor-level event, not confirmed relationship.",candidate
BTS,HYBE,352820.KS,Jung Kook,activity,brand_ambassador,Jung Kook is announced as Calvin Klein global ambassador,Jung Kook 成為 Calvin Klein 全球品牌大使,정국 캘빈클라인 글로벌 앰버서더 선정,2023-03-28,2023-03-28,2023-04-11,positive,4.0,A_official,https://www.calvinklein.us/en/press/jungkook-calvin-klein,,Major individual brand activity by a BTS member.,candidate
BTS,HYBE,352820.KS,,contract_member,contract_renewal,All seven BTS members renew contracts with HYBE and BIGHIT MUSIC,BTS 七名成員全員與 HYBE / BIGHIT MUSIC 續約,방탄소년단 전원 하이브 및 빅히트 뮤직과 재계약,2023-09-20,2023-09-20,2023-10-04,positive,5.0,B_media,https://www.businesstimes.com.sg/lifestyle/all-bts-members-renew-contracts-hybe-agency,,Contract renewal reduces uncertainty around BTS's post-service group continuity.,candidate
BTS,HYBE,352820.KS,SUGA,PR_crisis,dui_incident,SUGA appears before police over e-scooter drunk driving incident,SUGA 因酒後騎乘電動滑板車事件到警局接受調查,슈가 전동 스쿠터 음주운전 사건 경찰 출석,2024-08-23,2024-08-23,2024-09-06,negative,5.0,B_media,https://www.reuters.com/world/asia-pacific/bts-member-suga-appears-before-police-e-scooter-drunk-driving-2024-08-23/,,High-profile PR crisis involving police questioning over drunk driving on an electric scooter.,candidate
BTS,HYBE,352820.KS,SUGA,PR_crisis,fine,SUGA is fined for e-scooter drunk driving incident,SUGA 因酒後騎乘電動滑板車事件遭罰款,슈가 전동 스쿠터 음주운전 사건 벌금 처분,2024-09-30,2024-09-30,2024-10-14,negative,4.0,B_media,https://www.reuters.com/world/asia-pacific/bts-member-suga-fined-11500-drunk-driving-e-scooter-2024-09-30/,,Follow-up PR crisis event after court fine.,candidate
BTS,HYBE,352820.KS,j-hope,concert,solo_tour_start,j-hope begins HOPE ON THE STAGE solo tour in Seoul,j-hope 於首爾展開 HOPE ON THE STAGE 個人巡演,제이홉 HOPE ON THE STAGE 서울 공연 시작,2025-02-28,2025-02-28,2025-03-14,positive,4.0,B_media,https://apnews.com/article/fda4409d8b8e32eec9d8c2265454f025,,First BTS member solo tour after military service period; relevant as concert/activity demand.,candidate
BTS,HYBE,352820.KS,Jin,concert,solo_fan_concert_tour_start,Jin begins RUNSEOKJIN_EP.TOUR in Goyang,Jin 於高陽展開 RUNSEOKJIN_EP.TOUR,진 RUNSEOKJIN_EP.TOUR 고양 공연 시작,2025-06-28,2025-06-28,2025-07-12,positive,4.0,B_media,https://en.wikipedia.org/wiki/RunSeokjin_Ep._Tour,,Jin's first solo fan concert world tour after military discharge.,candidate
Stray Kids,JYP,035900.KQ,Hyunjin,PR_crisis,bullying_allegation_activity_pause,Hyunjin pauses activities amid school bullying allegations,Hyunjin 因校園霸凌爭議暫停活動,현진 학교폭력 의혹으로 활동 중단,2021-02-27,2021-02-27,2021-03-13,negative,5.0,B_media,https://www.soompi.com/article/1456971wpp/jyp-announces-stray-kidss-hyunjin-will-be-halting-all-activities,,Major PR crisis; JYP announced Hyunjin would halt activities after school bullying allegations.,candidate
Stray Kids,JYP,035900.KQ,Hyunjin,activity,activity_resume,Hyunjin resumes Stray Kids activities,Hyunjin 恢復 Stray Kids 活動,현진 스트레이 키즈 활동 재개,2021-06-26,2021-06-26,2021-07-10,positive,3.0,B_media,https://www.soompi.com/article/1476285wpp/stray-kidss-hyunjin-to-resume-activities-in-july,,Follow-up activity event after PR crisis; useful to capture recovery-related traffic.,candidate
Stray Kids,JYP,035900.KQ,,concert,world_tour_announcement,Stray Kids announces Maniac world tour,Stray Kids 宣布 Maniac 世界巡演,스트레이 키즈 Maniac 월드투어 발표,2022-03-07,2022-03-07,2022-03-21,positive,4.0,B_media,https://www.soompi.com/article/1517711wpp/stray-kids-announces-2nd-world-tour-maniac,,World tour announcement after pandemic restrictions; relevant to concert demand.,candidate
Stray Kids,JYP,035900.KQ,,concert,world_tour_start,Stray Kids begins Maniac world tour in Seoul,Stray Kids 於首爾展開 Maniac 世界巡演,스트레이 키즈 Maniac 월드투어 서울 공연 시작,2022-04-29,2022-04-29,2022-05-13,positive,4.0,B_media,https://en.wikipedia.org/wiki/Maniac_World_Tour,,Tour start event for MANIAC world tour.,candidate
Stray Kids,JYP,035900.KQ,Felix,activity,brand_ambassador,Felix becomes Louis Vuitton House Ambassador,Felix 成為 Louis Vuitton 品牌大使,필릭스 루이비통 하우스 앰버서더 선정,2023-08-22,2023-08-22,2023-09-05,positive,4.0,B_media,https://www.lofficielusa.com/fashion/stray-kids-felix-louis-vuitton-house-ambassador,,Major fashion activity and luxury-brand endorsement for Felix.,candidate
Stray Kids,JYP,035900.KQ,,concert,dome_tour_start,Stray Kids begins 5-Star Dome Tour,Stray Kids 展開 5-Star Dome Tour,스트레이 키즈 5-Star Dome Tour 시작,2023-08-16,2023-08-16,2023-08-30,positive,4.0,B_media,https://en.wikipedia.org/wiki/5-Star_Dome_Tour,,Japan/Korea dome tour event indicating strong live-performance demand.,candidate
Stray Kids,JYP,035900.KQ,,concert,festival_headliner,Stray Kids headlines I-Days Milano,Stray Kids 擔任 I-Days Milano 壓軸演出,스트레이 키즈 I-Days Milano 헤드라이너 공연,2024-07-12,2024-07-12,2024-07-26,positive,4.0,B_media,https://www.i-days.it/en/event/stray-kids,,European festival headliner performance in 2024.,candidate
Stray Kids,JYP,035900.KQ,,concert,festival_headliner,Stray Kids headlines BST Hyde Park,Stray Kids 擔任 BST Hyde Park 壓軸演出,스트레이 키즈 BST Hyde Park 헤드라이너 공연,2024-07-14,2024-07-14,2024-07-28,positive,4.0,B_media,https://www.timeout.com/london/news/stray-kids-at-bst-hyde-park-2024-timings-and-everything-you-need-to-know-071224,,"Stray Kids performed as BST Hyde Park headliner on July 14, 2024.",candidate
Stray Kids,JYP,035900.KQ,,contract_member,contract_renewal,All eight Stray Kids members renew contracts with JYP Entertainment,Stray Kids 八名成員全員與 JYP Entertainment 續約,스트레이 키즈 전원 JYP엔터테인먼트와 재계약,2024-07-18,2024-07-18,2024-08-01,positive,5.0,B_media,https://www.teenvogue.com/story/stray-kids-members-renew-contracts-with-jyp-entertainment-early,,"All eight members renewed contracts ahead of 2025 expiration, reducing continuity risk.",candidate
Stray Kids,JYP,035900.KQ,,concert,festival_headliner,Stray Kids headlines Lollapalooza Chicago,Stray Kids 擔任 Lollapalooza Chicago 壓軸演出,스트레이 키즈 Lollapalooza Chicago 헤드라이너 공연,2024-08-02,2024-08-02,2024-08-16,positive,4.0,B_media,https://pitchfork.com/news/sza-tyler-the-creator-blink-182-to-headline-lollapalooza-2024/,,Stray Kids listed among Lollapalooza 2024 headliners.,candidate
Stray Kids,JYP,035900.KQ,,concert,world_tour_start,Stray Kids begins dominATE world tour in Seoul,Stray Kids 於首爾展開 dominATE 世界巡演,스트레이 키즈 dominATE 월드투어 서울 공연 시작,2024-08-24,2024-08-24,2024-09-07,positive,5.0,B_media,https://en.wikipedia.org/wiki/Dominate_World_Tour,,dominATE world tour began in Seoul on 2024-08-24 and extended through 2025.,candidate
Stray Kids,JYP,035900.KQ,"Bang Chan, Changbin, Han",activity,soundtrack_release,3RACHA contributes Slash to Deadpool & Wolverine soundtrack,3RACHA 參與 Deadpool & Wolverine 原聲帶 Slash,쓰리라차 Deadpool & Wolverine OST Slash 참여,2024-07-24,2024-07-24,2024-08-07,positive,3.0,B_media,https://www.billboard.com/music/music-news/deadpool-wolverine-soundtrack-stray-kids-slash-1235737477/,,Cross-media global activity connected to a major Hollywood film soundtrack.,candidate
Stray Kids,JYP,035900.KQ,,concert,stadium_dates_announcement,Stray Kids announces 20 new stadium dates for 2025 dominATE tour,Stray Kids 宣布 dominATE 巡演 2025 年 20 場新體育場場次,스트레이 키즈 2025 dominATE 스타디움 추가 공연 발표,2024-11-18,2024-11-18,2024-12-02,positive,5.0,B_media,https://www.billboard.com/music/pop/stray-kids-20-new-stadium-dates-2025-dominate-world-tour-1235832006/,,"Announcement of 20 new 2025 stadium dates, strong signal of global concert demand.",candidate
Stray Kids,JYP,035900.KQ,,concert,stadium_concert,Stray Kids performs dominATE concert at Oracle Park San Francisco,Stray Kids 於舊金山 Oracle Park 舉辦 dominATE 演唱會,스트레이 키즈 샌프란시스코 Oracle Park dominATE 공연,2025-05-28,2025-05-28,2025-06-11,positive,4.0,B_media,https://www.sfchronicle.com/entertainment/article/stray-kids-oracle-park-concert-20350152.php,,2025 North American stadium concert; useful for recent-period traffic.,candidate
Stray Kids,JYP,035900.KQ,,concert,sold_out_stadium_concert,Stray Kids performs sold-out dominATE concerts at Stade de France,Stray Kids 於法國體育場舉辦售罄 dominATE 演唱會,스트레이 키즈 Stade de France 매진 dominATE 공연,2025-07-27,2025-07-27,2025-08-10,positive,4.0,B_media,https://www.lemonde.fr/en/culture/article/2025/07/28/k-pop-boy-band-stray-kids-light-up-paris-with-well-oiled-show-and-adoring-fans_6743808_30.html,,Le Monde reported sold-out Stade de France concerts during the 2025 dominATE tour.,candidate
NCT,SM,041510.KQ,Lucas,PR_crisis,private_life_controversy,Lucas apologizes and halts activities after private-life controversy,Lucas 因私生活爭議道歉並暫停活動,루카스 사생활 논란 사과 및 활동 중단,2021-08-25,2021-08-25,2021-09-08,negative,5.0,B_media,https://www.teenvogue.com/story/lucas-wayv-apologized-for-irresponsible-behavior-after-cheating-allegations,,Lucas apologized after cheating/gaslighting allegations and halted activities; affects NCT/WayV member reputation.,candidate
NCT,SM,041510.KQ,,concert,offline_concert_start,NCT 127 begins Neo City The Link tour in Seoul,NCT 127 於首爾展開 Neo City The Link 巡演,NCT 127 Neo City The Link 서울 공연 시작,2021-12-17,2021-12-17,2021-12-31,positive,4.0,B_media,https://en.wikipedia.org/wiki/Neo_City_%E2%80%93_The_Link,,NCT 127's concert tour start after pandemic-era restrictions.,candidate
NCT,SM,041510.KQ,,concert,world_tour_start,NCT DREAM begins The Dream Show 2 tour in Seoul,NCT DREAM 於首爾展開 The Dream Show 2 巡演,NCT DREAM The Dream Show 2 서울 공연 시작,2022-09-08,2022-09-08,2022-09-22,positive,4.0,B_media,https://en.wikipedia.org/wiki/The_Dream_Show_2:_In_A_Dream,,NCT DREAM's major world tour start.,candidate
NCT,SM,041510.KQ,,concert,group_concert_start,NCT begins NCT NATION To The World concert series,NCT 展開 NCT NATION To The World 演唱會,NCT NATION To The World 공연 시작,2023-08-26,2023-08-26,2023-09-09,positive,4.0,B_media,https://en.wikipedia.org/wiki/NCT_Nation:_To_the_World,,"Full-brand NCT concert series, useful for group-level traffic.",candidate
NCT,SM,041510.KQ,Lucas,contract_member,member_departure,Lucas leaves NCT and WayV,Lucas 退出 NCT 與 WayV,루카스 NCT 및 WayV 탈퇴,2023-05-10,2023-05-10,2023-05-24,mixed,5.0,B_media,https://www.soompi.com/article/1585612wpp/sm-announces-lucas-to-leave-nct-and-wayv,,Member departure after long activity hiatus; coded as contract/member structure event.,candidate
NCT,SM,041510.KQ,,concert,tour_start,NCT 127 begins Neo City The Unity tour in Seoul,NCT 127 於首爾展開 Neo City The Unity 巡演,NCT 127 Neo City The Unity 서울 공연 시작,2023-11-17,2023-11-17,2023-12-01,positive,4.0,B_media,https://en.wikipedia.org/wiki/Neo_City_%E2%80%93_The_Unity,,NCT 127 third tour start in Seoul; continued through 2024.,candidate
NCT,SM,041510.KQ,,activity,new_unit_debut,NCT WISH debuts as the final NCT unit,NCT WISH 作為 NCT 最終小分隊出道,NCT WISH NCT 마지막 유닛으로 데뷔,2024-02-21,2024-02-21,2024-03-06,positive,4.0,B_media,https://en.wikipedia.org/wiki/NCT_Wish,,New NCT sub-unit debut; categorized as activity / group expansion.,candidate
NCT,SM,041510.KQ,Doyoung,activity,solo_activity,Doyoung begins solo artist activities with Youth,Doyoung 以 Youth 展開個人歌手活動,도영 Youth로 솔로 활동 시작,2024-04-22,2024-04-22,2024-05-06,positive,3.0,B_media,https://en.wikipedia.org/wiki/Youth_(Doyoung_album),,NCT member solo activity; useful for individual-member traffic.,candidate
NCT,SM,041510.KQ,,concert,world_tour_start,NCT DREAM begins The Dream Show 3 world tour in Seoul,NCT DREAM 於首爾展開 The Dream Show 3 世界巡演,NCT DREAM The Dream Show 3 서울 공연 시작,2024-05-02,2024-05-02,2024-05-16,positive,4.0,A_official,https://weverse.io/nctdream/notice/17743,,Official notice lists Seoul dates for The Dream Show 3.,candidate
NCT,SM,041510.KQ,"Johnny, Haechan",PR_crisis,rumor_denial,SM denies rumors involving Johnny and Haechan,SM 否認 Johnny 與 Haechan 相關負面傳聞,SM 조니 해찬 관련 루머 부인,2024-06-04,2024-06-04,2024-06-18,negative,4.0,B_media,https://timesofindia.indiatimes.com/entertainment/k-pop/music/news/girl-linked-to-ncts-haechan-and-johnny-breaks-silence-on-recent-prostitution-allegations/articleshow/110735736.cms,,SM denied allegations and rumor spread involving Johnny and Haechan; coded as PR crisis / denial.,candidate
NCT,SM,041510.KQ,Taeil,PR_crisis,criminal_allegation_member_removed,Taeil is removed from NCT after sexual offense allegations,Taeil 因性犯罪指控被移出 NCT,태일 성범죄 혐의로 NCT 탈퇴,2024-08-28,2024-08-28,2024-09-11,negative,5.0,B_media,https://people.com/taeil-removed-from-nct-for-unspecified-sexual-crime-8703636,,Major PR crisis; SM removed Taeil from NCT after allegations and police investigation.,candidate
NCT,SM,041510.KQ,Taeil,contract_member,member_removed,Taeil's removal changes NCT member structure,Taeil 被移出後改變 NCT 成員結構,태일 탈퇴로 NCT 멤버 구조 변화,2024-08-28,2024-08-28,2024-09-11,negative,5.0,B_media,https://www.teenvogue.com/story/taeil-leaves-nct-following-sexual-offense-allegations,,Same event coded from member-structure perspective; can be reviewed later if duplicate concern arises.,candidate
NCT,SM,041510.KQ,,concert,world_tour_start,NCT 127 begins Neo City The Momentum tour in Seoul,NCT 127 於首爾展開 Neo City The Momentum 巡演,NCT 127 Neo City The Momentum 서울 공연 시작,2025-01-18,2025-01-18,2025-02-01,positive,4.0,A_official,https://weverse.io/nct127/notice/23429,,Official schedule for NCT 127 4th tour NEO CITY - THE MOMENTUM.,candidate
NCT,SM,041510.KQ,Mark,activity,solo_activity,Mark begins solo activities with The Firstfruit,Mark 以 The Firstfruit 展開個人活動,마크 The Firstfruit로 솔로 활동 시작,2025-04-07,2025-04-07,2025-04-21,positive,3.0,B_media,https://en.wikipedia.org/wiki/The_Firstfruit,,NCT member Mark's solo activity in 2025.,candidate
NCT,SM,041510.KQ,,concert,world_tour_start,NCT DREAM begins The Dream Show 4 in Seoul,NCT DREAM 於首爾展開 The Dream Show 4,NCT DREAM The Dream Show 4 서울 공연 시작,2025-07-10,2025-07-10,2025-07-24,positive,4.0,A_official,https://weverse.io/nctdream/notice/26938,,"Official notice lists July 10-12, 2025 Gocheok Sky Dome concerts.",candidate
EXO,SM,041510.KQ,Chanyeol,activity,military_discharge_activity_return,Chanyeol is discharged from military service and prepares to resume activities,Chanyeol 退伍並準備恢復活動,찬열 군 전역 후 활동 재개 준비,2022-09-28,2022-09-28,2022-10-12,positive,3.0,B_media,https://www.soompi.com/article/1548316wpp/exos-chanyeol-discharged-from-the-military,,Member return event; coded as activity because it affects EXO member availability.,candidate
EXO,SM,041510.KQ,"Chen, Baekhyun, Xiumin",contract_member,contract_termination_notice,"Chen, Baekhyun, and Xiumin notify SM of contract termination",Chen、Baekhyun、Xiumin 通知 SM 解約,첸 백현 시우민 SM 전속계약 해지 통보,2023-06-01,2023-06-01,2023-06-15,negative,5.0,B_media,https://www.soompi.com/article/1590208wpp/exos-baekhyun-xiumin-and-chen-notify-sm-of-contract-termination,,Major contract dispute involving EXO-CBX and SM Entertainment.,candidate
EXO,SM,041510.KQ,"Chen, Baekhyun, Xiumin",contract_member,contract_dispute_settlement,EXO-CBX and SM resolve contract dispute and maintain contracts,EXO-CBX 與 SM 解決合約爭議並維持合約,엑소 첸백시와 SM 계약 분쟁 합의,2023-06-19,2023-06-19,2023-07-03,positive,5.0,B_media,https://www.soompi.com/article/1593203wpp/sm-and-exos-baekhyun-xiumin-and-chen-resolve-contract-dispute,,Follow-up contract event; dispute was resolved through discussion.,candidate
EXO,SM,041510.KQ,Kai,contract_member,member_enlistment,Kai begins mandatory military service,Kai 入伍服役,카이 군 입대,2023-05-11,2023-05-11,2023-05-25,mixed,4.0,B_media,https://www.soompi.com/article/1584720wpp/exos-kai-announces-sudden-military-enlistment-date-in-heartfelt-letter,,Member-availability event; coded under contract_member rather than separate military category.,candidate
EXO,SM,041510.KQ,D.O.,contract_member,agency_departure_solo_management,D.O. leaves SM for solo activities while remaining in EXO,D.O. 離開 SM 個人活動管理但保留 EXO 活動,"디오 SM 떠나 개인 활동 독립, EXO 활동 지속",2023-10-18,2023-10-18,2023-11-01,mixed,4.0,B_media,https://www.lofficielsingapore.com/culture/exo-d-o-do-kyung-soo-parting-ways-with-sm-entertainment-after-13-years-kpop,,Member contract/management change; D.O. continued EXO activities under SM while managing solo work separately.,candidate
EXO,SM,041510.KQ,,concert,fan_meeting,EXO holds 2024 EXO FAN MEETING: ONE,EXO 舉辦 2024 EXO FAN MEETING: ONE,EXO 2024 EXO FAN MEETING: ONE 개최,2024-04-14,2024-04-14,2024-04-28,positive,4.0,A_official,https://weverse.io/exo/notice/17854,,Official EXO fan meeting at INSPIRE Arena with livestream option.,candidate
