event_id,company,ticker,group,member,event_category,event_subtype,event_title_en,event_title_zh,event_title_ko,start_date,peak_date,end_date,duration_days,event_window_before_days,event_window_after_days,sentiment_expected,severity_score,source_level,official_source_url,naver_source_url,notes,collector,status
BLACKPINK_20231229_INDIVIDUAL_CONTRACTS,YG,122870.KQ,BLACKPINK,,contract_member,individual_contracts_not_renewed,BLACKPINK members do not renew individual contracts with YG,BLACKPINK 成員個人合約不與 YG 續約,블랙핑크 개인 계약 YG 미체결,2023-12-29,2023-12-29,2024-01-05,8,3,14,mixed,4,D_secondary,https://www.koreaboo.com/news/yg-entertainment-confirms-4-blackpink-members-not-renew-contracts-individual-activities/,https://search.naver.com/search.naver?where=news&query=블랙핑크%20개인%20계약%20YG,Important follow-up to group renewal because solo activities moved outside YG,Paul,needs_review
NEWJEANS_20220722_ATTENTION_DEBUT,HYBE,352820.KS,NewJeans,,comeback,debut_release,NewJeans surprise debuts with Attention,NewJeans 以 Attention 驚喜出道,뉴진스 Attention 데뷔,2022-07-22,2022-07-22,2022-08-01,11,3,14,positive,5,C_platform_data,https://www.gmanetwork.com/news/lifestyle/hobbiesandactivities/839021/hybe-s-new-girl-group-newjeans-debuts-with-single-attention/story/,https://search.naver.com/search.naver?where=news&query=뉴진스%20Attention%20데뷔,Debut event for HYBE ADOR girl group,Paul,complete
NEWJEANS_20221219_DITTO,HYBE,352820.KS,NewJeans,,comeback,pre_release_single,NewJeans releases Ditto,NewJeans 發布 Ditto,뉴진스 Ditto 발매,2022-12-19,2022-12-19,2023-01-13,26,3,14,positive,4,C_platform_data,https://en.wikipedia.org/wiki/Ditto_(song),https://search.naver.com/search.naver?where=news&query=뉴진스%20Ditto%20발매,Major winter single and chart discussion event,Paul,needs_review
NEWJEANS_20240411_HYEIN_INJURY,HYBE,352820.KS,NewJeans,Hyein,PR_crisis,injury_hiatus,Hyein halts activities due to foot injury,Hyein 因腳部受傷暫停活動,혜인 발 부상 활동 중단,2024-04-11,2024-04-11,2024-04-25,15,3,14,negative,3,B_korean_news,https://en.yna.co.kr/view/AEN20240411003900315,https://search.naver.com/search.naver?where=news&query=뉴진스%20혜인%20부상%20활동중단,Member injury and activity pause before comeback promotions,Paul,complete
NEWJEANS_20240422_HYBE_ADOR_DISPUTE,HYBE,352820.KS,NewJeans,,contract_member,management_contract_dispute,HYBE and ADOR dispute involving NewJeans begins,HYBE 與 ADOR 爭議波及 NewJeans,하이브 어도어 뉴진스 분쟁,2024-04-22,2024-04-25,2024-05-31,40,3,14,negative,5,B_korean_news,https://koreajoongangdaily.joins.com/news/2024-04-26/business/industry/NewJeans-debut-was-postponed-because-of-Min-Heejins-ambitions-HYBE-says/2034718,https://search.naver.com/search.naver?where=news&query=하이브%20어도어%20뉴진스%20분쟁,Recategorized from legal_dispute to contract_member to match the project factor list,Paul,complete
NEWJEANS_20241128_CONTRACT_TERMINATION,HYBE,352820.KS,NewJeans,,contract_member,contract_termination_press_conference,NewJeans announces contract termination with ADOR,NewJeans 宣布終止與 ADOR 合約,뉴진스 어도어 전속계약 해지 발표,2024-11-28,2024-11-28,2024-12-05,8,3,14,negative,5,B_korean_news,https://koreajoongangdaily.joins.com/news/2024-11-28/business/industry/NewJeans-members-to-terminate-contract-with-ADOR/2188944,https://search.naver.com/search.naver?where=news&query=뉴진스%20어도어%20전속계약%20해지,Major contract and company risk event,Paul,complete
LESSERAFIM_20220502_FEARLESS_DEBUT,HYBE,352820.KS,LE SSERAFIM,,comeback,debut_release,LE SSERAFIM debuts with Fearless,LE SSERAFIM 以 Fearless 出道,르세라핌 Fearless 데뷔,2022-05-02,2022-05-02,2022-05-09,8,3,14,positive,5,C_platform_data,https://time.com/6184416/best-kpop-2022-so-far/,https://search.naver.com/search.naver?where=news&query=르세라핌%20Fearless%20데뷔,HYBE Source Music girl group debut,Paul,complete
LESSERAFIM_20220720_GARAM_TERMINATION,HYBE,352820.KS,LE SSERAFIM,Kim Garam,PR_crisis,bullying_contract_termination,Kim Garam leaves LE SSERAFIM after bullying controversy,金佳覽因霸凌爭議離開 LE SSERAFIM,김가람 르세라핌 탈퇴 계약해지,2022-07-20,2022-07-20,2022-07-27,8,3,14,negative,5,B_korean_news,https://koreajoongangdaily.joins.com/2022/07/20/entertainment/kpop/kim-garam-kim-garam-bully-hybe/20220720112744184.html,https://search.naver.com/search.naver?where=news&query=김가람%20르세라핌%20계약해지,Major PR crisis and member removal event,Paul,complete
LESSERAFIM_20221017_ANTIFRAGILE,HYBE,352820.KS,LE SSERAFIM,,comeback,first_ot5_comeback,LE SSERAFIM releases Antifragile,LE SSERAFIM 發布 Antifragile,르세라핌 Antifragile 발매,2022-10-17,2022-10-17,2022-10-31,15,3,14,positive,4,C_platform_data,https://www.teenvogue.com/story/le-sserafim-antifragile-ep-explores-hardships-growth,https://search.naver.com/search.naver?where=news&query=르세라핌%20Antifragile%20발매,First comeback as five members after controversy,Paul,complete
LESSERAFIM_20240219_SMART_MINOR_CONTROVERSY,HYBE,352820.KS,LE SSERAFIM,Eunchae,PR_crisis,minor_choreography_controversy,Smart choreography receives criticism over minor member concept,Smart 編舞因未成年成員概念引發批評,르세라핌 Smart 미성년자 안무 논란,2024-02-19,2024-02-20,2024-03-04,15,3,14,negative,4,C_platform_data,https://www.sportskeeda.com/pop-culture/news-a-minor-exploited-hybe-receives-criticism-le-sserafim-s-alleged-sensual-dance-choreography-smart-new-ep-easy,https://search.naver.com/search.naver?where=news&query=르세라핌%20Smart%20은채%20논란,PR discussion around choreography and minor-member image; mark as reviewable secondary source,Paul,needs_review
LESSERAFIM_20240413_COACHELLA_CRITICISM,HYBE,352820.KS,LE SSERAFIM,,PR_crisis,live_vocal_criticism,LE SSERAFIM Coachella performance receives mixed reviews,LE SSERAFIM Coachella 表演引發唱功爭議,르세라핌 코첼라 라이브 논란,2024-04-13,2024-04-15,2024-04-20,8,3,14,negative,4,B_korean_news,https://koreajoongangdaily.joins.com/news/2024-04-15/entertainment/kpop/Le-Sserafim-debuts-at-Coachella-to-mixed-reviews/2025545,https://search.naver.com/search.naver?where=news&query=르세라핌%20코첼라%20라이브%20논란,Live vocal controversy produced strong negative discussion,Paul,complete
TWICE_20210818_JEONGYEON_HIATUS,JYP,035900.KQ,TWICE,Jeongyeon,PR_crisis,health_hiatus,Jeongyeon takes hiatus due to panic and anxiety disorder,定延因恐慌與焦慮暫停活動,정연 공황 및 불안장애 활동 중단,2021-08-18,2021-08-18,2021-09-01,15,3,14,negative,3,B_korean_news,https://www.nme.com/news/music/twice-jeongyeon-second-hiatus-panic-anxiety-disorder-jyp-entertainment-3022785,https://search.naver.com/search.naver?where=news&query=트와이스%20정연%20활동중단%20불안장애,Health-related hiatus affected group activity discussion and fan concern,Paul,complete
TWICE_20220624_NAYEON_POP,JYP,035900.KQ,TWICE,Nayeon,activity,solo_debut,Nayeon makes solo debut with Pop,Nayeon 以 Pop 個人出道,나연 Pop 솔로 데뷔,2022-06-24,2022-06-24,2022-07-08,15,3,14,positive,4,B_korean_news,,https://search.naver.com/search.naver?where=news&query=나연%20Pop%20솔로%20데뷔,TWICE member solo debut with strong fanbase signal,Paul,complete
TWICE_20230324_SOFI_SOLDOUT,JYP,035900.KQ,TWICE,,concert,stadium_sold_out,TWICE becomes first girl group to sell out SoFi Stadium,TWICE 成為首個完售 SoFi Stadium 的女團,트와이스 소파이 스타디움 매진,2023-03-23,2023-03-24,2023-03-31,9,3,14,positive,4,C_platform_data,https://www.soompi.com/article/1574831wpp/twice-becomes-1st-girl-group-from-any-country-to-sell-out-californias-sofi-stadium,https://search.naver.com/search.naver?where=news&query=트와이스%20소파이%20스타디움%20매진,Sold-out ticketing event captures concert-demand factor,Paul,complete
TWICE_20230321_CHAEYOUNG_SHIRT,JYP,035900.KQ,TWICE,Chaeyoung,PR_crisis,controversial_clothing_apology,Chaeyoung apologizes for controversial shirt post,彩瑛爭議服裝發文後道歉,채영 논란 의상 사과,2023-03-21,2023-03-22,2023-03-29,9,3,14,negative,4,C_platform_data,https://www.instagram.com/chaeyo.0/,https://search.naver.com/search.naver?where=news&query=트와이스%20채영%20나치%20티셔츠%20사과,PR controversy tied to apology and international fan discussion,Paul,needs_review
TWICE_20230310_SET_ME_FREE,JYP,035900.KQ,TWICE,,comeback,album_release,TWICE releases Ready To Be and Set Me Free,TWICE 發布 Ready To Be 與 Set Me Free,트와이스 Ready To Be Set Me Free 발매,2023-03-10,2023-03-10,2023-03-24,15,3,14,positive,4,B_korean_news,,https://search.naver.com/search.naver?where=news&query=트와이스%20Set%20Me%20Free,Album release connected to world tour cycle,Paul,complete
TWICE_20230726_MISAMO_DEBUT,JYP,035900.KQ,TWICE,MISAMO,activity,subunit_debut,MISAMO debuts in Japan with Masterpiece,TWICE 小分隊 MISAMO 日本出道,미사모 Masterpiece 일본 데뷔,2023-07-26,2023-07-26,2023-08-09,15,3,14,positive,3,D_secondary,,https://search.naver.com/search.naver?where=news&query=미사모%20Masterpiece%20데뷔,TWICE Japanese subunit event,Paul,needs_review
TWICE_20240325_JIHYO_DATING_RUMOR,JYP,035900.KQ,TWICE,Jihyo,dating,dating_rumor_agency_no_comment,Jihyo and Yun Sung-bin dating rumor receives agency response,志效與尹誠彬戀愛傳聞及公司回應,지효 윤성빈 열애설 소속사 입장,2024-03-25,2024-03-25,2024-04-01,8,3,14,mixed,3,C_platform_data,https://www.gmanetwork.com/news/showbiz/chikaminute/901573/is-twice-s-jihyo-dating-olympian-yun-sung-bin-agencies-respond/story/,https://search.naver.com/search.naver?where=news&query=트와이스%20지효%20윤성빈%20열애설,Unconfirmed dating rumor; agency said private matter and did not confirm,Paul,complete
TWICE_20240223_ONE_SPARK,JYP,035900.KQ,TWICE,,comeback,album_release,TWICE releases One Spark and With YOU-th,TWICE 發布 One Spark 與 With YOU-th,트와이스 One Spark With YOU-th 발매,2024-02-23,2024-02-23,2024-03-08,15,3,14,positive,4,B_korean_news,,https://search.naver.com/search.naver?where=news&query=트와이스%20One%20Spark,Main comeback behind Billboard achievement,Paul,complete
TWICE_20241206_STRATEGY,JYP,035900.KQ,TWICE,,comeback,album_release,TWICE releases Strategy,TWICE 發布 Strategy,트와이스 Strategy 발매,2024-12-06,2024-12-06,2024-12-20,15,3,14,positive,4,B_korean_news,,https://search.naver.com/search.naver?where=news&query=트와이스%20Strategy%20발매,Late 2024 comeback event,Paul,complete
TWICE_20240405_CHAEYOUNG_ZIONT,JYP,035900.KQ,TWICE,Chaeyoung,dating,confirmed_dating,Chaeyoung and Zion.T confirmed to be dating,彩瑛與 Zion.T 確認戀愛,채영 자이언티 열애 인정,2024-04-05,2024-04-05,2024-04-12,8,3,14,mixed,4,B_korean_news,https://koreajoongangdaily.joins.com/news/2024-04-05/entertainment/kpop/Twices-Chaeyoung-and-singer-Zion-T-confirmed-to-be-dating/2019064,https://search.naver.com/search.naver?where=news&query=트와이스%20채영%20자이언티%20열애,Confirmed dating case with direct agency confirmation,Paul,complete
AESPA_20240412_WINTER_SURGERY,SM,041510.KQ,aespa,Winter,PR_crisis,health_surgery_break,Winter takes break after pneumothorax surgery,Winter 氣胸手術後暫停活動休養,윈터 기흉 수술 후 활동 휴식,2024-04-12,2024-04-12,2024-04-26,15,3,14,negative,3,B_korean_news,https://koreajoongangdaily.joins.com/news/2024-04-12/entertainment/kpop/aespas-Winter-will-take-a-break-to-recover-from-surgery/2024264,https://search.naver.com/search.naver?where=news&query=윈터%20기흉%20수술%20활동중단,Member health event with company statement and activity break,Paul,complete
AESPA_20240305_KARINA_APOLOGY,SM,041510.KQ,aespa,Karina,PR_crisis,dating_backlash_apology,Karina apologizes to fans after dating backlash,Karina 因戀愛消息引發反彈後道歉,카리나 열애 후 팬들에게 사과,2024-03-05,2024-03-05,2024-03-19,15,3,14,negative,5,B_korean_news,https://koreajoongangdaily.joins.com/news/2024-04-02/entertainment/kpop/aespas-Karina-actor-Lee-Jaewook-confirm-breakup/2016406,https://search.naver.com/search.naver?where=news&query=카리나%20열애%20사과문,Dating backlash became a separate PR event from the initial dating confirmation,Paul,complete
AESPA_20230225_SYNKK_HYPER_LINE,SM,041510.KQ,aespa,,concert,first_concert,aespa starts Synk Hyper Line concert,aespa 開始 Synk Hyper Line 演唱會,aespa SYNK HYPER LINE 콘서트,2023-02-25,2023-02-25,2023-03-05,9,3,14,positive,4,B_korean_news,,https://search.naver.com/search.naver?where=news&query=에스파%20SYNK%20HYPER%20LINE%20콘서트,First concert series and tour signal,Paul,complete
AESPA_20240402_KARINA_BREAKUP,SM,041510.KQ,aespa,Karina,dating,breakup,Karina and Lee Jae-wook confirm breakup,Karina 與李宰旭確認分手,카리나 이재욱 결별 인정,2024-04-02,2024-04-02,2024-04-09,8,3,14,mixed,4,B_korean_news,https://en.yna.co.kr/view/AEN20240402006500315,https://search.naver.com/search.naver?where=news&query=카리나%20이재욱%20결별,Breakup closed the dating controversy window and is useful as a separate event,Paul,complete
AESPA_20230508_MY_WORLD_SPICY,SM,041510.KQ,aespa,,comeback,mini_album_release,aespa releases My World and Spicy,aespa 發布 My World 與 Spicy,에스파 My World Spicy 발매,2023-05-08,2023-05-08,2023-05-22,15,3,14,positive,5,B_korean_news,,https://search.naver.com/search.naver?where=news&query=에스파%20Spicy%20My%20World,Major album sales and comeback event,Paul,complete
AESPA_20241211_WINTER_JUNGWON,SM,041510.KQ,aespa,Winter,dating,denied_dating_rumor,Winter and Jungwon dating rumor denied by agencies,Winter 與 Jungwon 戀愛傳聞遭公司否認,윈터 정원 열애설 소속사 부인,2024-12-11,2024-12-11,2024-12-18,8,3,14,mixed,4,B_korean_news,https://koreajoongangdaily.joins.com/news/2024-12-11/entertainment/kpop/SM-Entertainment-Belift-Lab-deny-dating-rumors-around-aespas-Winter-Enhypens-Jungwon/2198106,https://search.naver.com/search.naver?where=news&query=윈터%20정원%20열애설,Denied dating rumor with legal-action language from agencies,Paul,complete
AESPA_20250528_KARINA_JACKET,SM,041510.KQ,aespa,Karina,PR_crisis,political_symbol_controversy,Karina deletes Instagram photo amid political jacket controversy,Karina 因紅色 2 號外套政治爭議刪除照片,카리나 빨간 2번 재킷 정치 논란,2025-05-28,2025-05-28,2025-06-05,9,3,14,negative,4,B_korean_news,https://www.koreatimes.co.kr/entertainment/k-pop/20250528/aespas-karina-deletes-instagram-photo-amid-political-controversy-over-red-no-2-jacket,https://search.naver.com/search.naver?where=news&query=카리나%20빨간%202번%20재킷%20논란,Political-symbol interpretation controversy during Korean election period,Paul,complete
AESPA_20240513_SUPERNOVA,SM,041510.KQ,aespa,,comeback,pre_release_single,aespa releases Supernova,aespa 發布 Supernova,에스파 Supernova 발매,2024-05-13,2024-05-13,2024-05-27,15,3,14,positive,5,B_korean_news,,https://search.naver.com/search.naver?where=news&query=에스파%20Supernova,Pre-release hit before Armageddon,Paul,complete
AESPA_20241021_WHIPLASH,SM,041510.KQ,aespa,,comeback,mini_album_release,aespa releases Whiplash,aespa 發布 Whiplash,에스파 Whiplash 발매,2024-10-21,2024-10-21,2024-11-04,15,3,14,positive,4,B_korean_news,,https://search.naver.com/search.naver?where=news&query=에스파%20Whiplash%20발매,Late 2024 comeback event,Paul,complete
AESPA_20251205_WINTER_JUNGKOOK,SM,041510.KQ,aespa,Winter,dating,viral_dating_rumor_no_comment,Winter and Jungkook viral dating rumor spreads online,Winter 與 Jungkook 戀愛傳聞在網路發酵,윈터 정국 열애설 온라인 확산,2025-12-05,2025-12-05,2025-12-19,15,3,14,mixed,5,B_korean_news,https://en.yna.co.kr/view/AEN20251205006600315,https://search.naver.com/search.naver?where=news&query=윈터%20정국%20열애설,"Unconfirmed viral dating rumor; agencies reportedly offered no comment, so keep as rumor not fact",Paul,needs_review
BLACKPINK_20210312_ROSE_ON_THE_GROUND,YG,122870.KQ,BLACKPINK,Rose,activity,solo_debut,Rose makes solo debut with On The Ground,Rose 以 On The Ground 個人出道,로제 On The Ground 솔로 데뷔,2021-03-12,2021-03-12,2021-03-26,15,3,14,positive,4,B_korean_news,,https://search.naver.com/search.naver?where=news&query=로제%20On%20The%20Ground%20솔로,Member solo debut with high global attention,Paul,complete
BLACKPINK_20220523_JENNIE_V_RUMOR,YG,122870.KQ,BLACKPINK,Jennie,dating,dating_rumor_agency_no_comment,Jennie and BTS V dating rumor begins with viral Jeju photo,Jennie 與 BTS V 因濟州照片爆出戀愛傳聞,제니 뷔 제주도 사진 열애설,2022-05-23,2022-05-23,2022-06-06,15,3,14,mixed,5,C_platform_data,https://www.soompi.com/article/1527555wpp/yg-entertainment-gives-brief-response-to-jennie-and-vs-dating-rumors,https://search.naver.com/search.naver?where=news&query=제니%20뷔%20열애설,Major cross-fandom dating rumor; not confirmed by agencies,Paul,complete
BLACKPINK_20210910_LISA_LALISA,YG,122870.KQ,BLACKPINK,Lisa,activity,solo_debut,Lisa makes solo debut with Lalisa,Lisa 以 Lalisa 個人出道,리사 Lalisa 솔로 데뷔,2021-09-10,2021-09-10,2021-09-24,15,3,14,positive,5,B_korean_news,,https://search.naver.com/search.naver?where=news&query=리사%20Lalisa%20솔로,Major solo debut and YouTube scale event,Paul,complete
BLACKPINK_20220808_BORN_PINK_TOUR_ANNOUNCE,YG,122870.KQ,BLACKPINK,,concert,world_tour_announcement,BLACKPINK announces Born Pink world tour,BLACKPINK 公布 Born Pink 世界巡演,블랙핑크 Born Pink 월드투어 발표,2022-08-08,2022-08-08,2022-08-22,15,3,14,positive,5,B_korean_news,,https://search.naver.com/search.naver?where=news&query=블랙핑크%20Born%20Pink%20월드투어,World tour announcement before album release,Paul,complete
BLACKPINK_20230604_THE_IDOL,YG,122870.KQ,BLACKPINK,Jennie,PR_crisis,acting_role_controversy,Jennie's The Idol debut draws controversy,Jennie 出演 The Idol 引發爭議,제니 The Idol 출연 논란,2023-06-04,2023-06-05,2023-06-18,15,3,14,mixed,4,C_platform_data,https://www.billboard.com/music/music-news/blackpink-jennie-the-idol-acting-debut-fans-react-1235346472/,https://search.naver.com/search.naver?where=news&query=제니%20The%20Idol%20논란,Entertainment image controversy connected to individual member brand risk,Paul,needs_review
BLACKPINK_20230331_JISOO_FLOWER,YG,122870.KQ,BLACKPINK,Jisoo,activity,solo_debut,Jisoo makes solo debut with Flower,Jisoo 以 Flower 個人出道,지수 Flower 솔로 데뷔,2023-03-31,2023-03-31,2023-04-14,15,3,14,positive,5,B_korean_news,,https://search.naver.com/search.naver?where=news&query=지수%20Flower%20솔로,Final BLACKPINK member solo debut,Paul,complete
BLACKPINK_20230928_LISA_CRAZY_HORSE,YG,122870.KQ,BLACKPINK,Lisa,PR_crisis,performance_controversy,Lisa's Crazy Horse Paris performances spark controversy,Lisa 登上 Crazy Horse Paris 引發爭議,리사 크레이지 호스 공연 논란,2023-09-28,2023-09-30,2023-10-12,15,3,14,mixed,4,C_platform_data,https://www.allkpop.com/article/2023/09/blackpink-lisas-official-instagram-is-being-terrorized-by-chinese-netizens-following-crazy-horse-performance-announcement,https://search.naver.com/search.naver?where=news&query=리사%20크레이지호스%20논란,Solo activity controversy created regional fan backlash and discussion,Paul,needs_review
BLACKPINK_20230917_BORN_PINK_FINALE,YG,122870.KQ,BLACKPINK,,concert,tour_finale,BLACKPINK ends Born Pink world tour in Seoul,BLACKPINK 在首爾結束 Born Pink 世界巡演,블랙핑크 Born Pink 피날레 서울,2023-09-16,2023-09-17,2023-09-24,9,3,14,positive,5,B_korean_news,,https://search.naver.com/search.naver?where=news&query=블랙핑크%20Born%20Pink%20피날레,Major tour finale and revenue signal,Paul,complete
BLACKPINK_20240709_JENNIE_VAPING,YG,122870.KQ,BLACKPINK,Jennie,PR_crisis,indoor_vaping_apology,Jennie apologizes for indoor vaping incident,Jennie 室內電子菸事件道歉,제니 실내 흡연 논란 사과,2024-07-08,2024-07-09,2024-07-16,9,3,14,negative,5,B_korean_news,https://koreajoongangdaily.joins.com/news/2024-07-09/entertainment/kpop/Blackpinks-Jennie-apologizes-for-smoking-ecigarette-indoors/2086424,https://search.naver.com/search.naver?where=news&query=제니%20실내흡연%20사과,Agency apology and viral deleted-vlog clip make this a clear PR-crisis event,Paul,complete
BLACKPINK_20250219_DEADLINE_TOUR,YG,122870.KQ,BLACKPINK,,concert,world_tour_announcement,BLACKPINK announces Deadline world tour,BLACKPINK 公布 Deadline 世界巡演,블랙핑크 Deadline 월드투어 발표,2025-02-19,2025-02-19,2025-03-05,15,3,14,positive,5,B_korean_news,,https://search.naver.com/search.naver?where=news&query=블랙핑크%20Deadline%20월드투어,New world tour event after contract renewal,Paul,complete
